rank,lemma,PoS,freq,difficulty
5,of,i,23159162.0,0.0008064516129032258
15,do,v,8186412.0,0.0016129032258064516
25,they,p,4503650.0,0.0024193548387096775
35,she,p,3188078.0,0.0032258064516129032
45,about,i,2427703.0,0.004032258064516129
55,there,e,1980173.0,0.004838709677419355
65,him,p,1717209.0,0.005645161290322581
75,could,v,1529795.0,0.0064516129032258064
85,no,a,1206112.0,0.007258064516129033
95,man,n,1091176.0,0.008064516129032258
105,very,r,963552.0,0.008870967741935484
115,work,v,854095.0,0.00967741935483871
125,call,v,768117.0,0.010483870967741934
135,in,r,726590.0,0.011290322580645162
145,as,r,662376.0,0.012096774193548387
155,help,v,606887.0,0.012903225806451613
165,every,a,567233.0,0.013709677419354839
175,yes,u,537066.0,0.014516129032258065
185,its,a,511922.0,0.015322580645161291
195,hand,n,481332.0,0.016129032258064516
205,about,r,462995.0,0.01693548387096774
215,without,i,438567.0,0.017741935483870968
225,story,n,432184.0,0.018548387096774192
235,begin,v,421878.0,0.01935483870967742
245,fact,n,399574.0,0.020161290322580645
255,maybe,r,374325.0,0.02096774193548387
265,issue,n,362137.0,0.021774193548387097
275,though,c,352608.0,0.022580645161290325
285,best,j,348202.0,0.02338709677419355
295,both,d,338454.0,0.024193548387096774
305,much,r,329230.0,0.025
315,four,m,319834.0,0.025806451612903226
325,car,n,313437.0,0.02661290322580645
335,back,n,302390.0,0.027419354838709678
345,member,n,292596.0,0.028225806451612902
355,whether,c,280973.0,0.02903225806451613
365,stay,v,275504.0,0.029838709677419355
375,die,v,264537.0,0.030645161290322583
385,office,n,258157.0,0.031451612903225803
395,grow,v,248803.0,0.03225806451612903
405,second,m,243485.0,0.03306451612903226
415,low,j,237027.0,0.03387096774193548
425,whole,j,233110.0,0.03467741935483871
435,hard,j,228234.0,0.035483870967741936
445,police,n,219041.0,0.036290322580645164
455,break,v,213364.0,0.037096774193548385
465,listen,v,208819.0,0.03790322580645161
475,full,j,204252.0,0.03870967741935484
485,local,j,200668.0,0.03951612903225807
495,value,n,195639.0,0.04032258064516129
505,explain,v,193276.0,0.04112903225806452
515,movie,n,190773.0,0.04193548387096774
525,difference,n,185310.0,0.042741935483870966
535,effort,n,181751.0,0.043548387096774194
545,because,i,178859.0,0.04435483870967742
555,need,n,175440.0,0.04516129032258065
565,situation,n,171026.0,0.04596774193548387
575,share,v,168892.0,0.0467741935483871
585,simply,r,166556.0,0.04758064516129032
595,open,j,163231.0,0.04838709677419355
605,save,v,161469.0,0.049193548387096775
615,guess,v,159454.0,0.05
625,election,n,156532.0,0.050806451612903224
635,certain,j,154059.0,0.05161290322580645
645,available,j,151406.0,0.05241935483870968
655,current,j,148387.0,0.0532258064516129
665,list,n,146495.0,0.05403225806451613
675,fire,n,144750.0,0.054838709677419356
685,author,n,142352.0,0.055645161290322584
695,note,v,139111.0,0.056451612903225805
705,nearly,r,138034.0,0.05725806451612903
715,top,n,136658.0,0.05806451612903226
725,worker,n,135244.0,0.05887096774193548
735,race,n,133182.0,0.05967741935483871
745,poor,j,131105.0,0.06048387096774194
755,enjoy,v,129575.0,0.061290322580645165
765,defense,n,127924.0,0.062096774193548386
775,century,n,126668.0,0.06290322580645161
785,animal,n,124835.0,0.06370967741935483
795,mile,n,122899.0,0.06451612903225806
805,compare,v,120978.0,0.06532258064516129
815,sister,n,120346.0,0.06612903225806452
825,thus,r,118653.0,0.06693548387096775
835,candidate,n,116347.0,0.06774193548387096
845,somebody,p,115363.0,0.06854838709677419
855,meeting,n,114209.0,0.06935483870967742
865,imagine,v,112572.0,0.07016129032258064
875,disease,n,111433.0,0.07096774193548387
885,apply,v,110328.0,0.0717741935483871
895,rise,v,109035.0,0.07258064516129033
905,set,n,106920.0,0.07338709677419354
915,method,n,105544.0,0.07419354838709677
925,shit,n,104498.0,0.075
935,interview,n,103566.0,0.07580645161290323
945,blue,j,102172.0,0.07661290322580645
955,environment,n,101479.0,0.07741935483870968
965,river,n,100270.0,0.0782258064516129
975,bit,r,99520.0,0.07903225806451614
985,absolutely,r,98574.0,0.07983870967741935
995,trouble,n,97439.0,0.08064516129032258
1005,seat,n,96853.0,0.0814516129032258
1015,necessary,j,95580.0,0.08225806451612903
1025,democratic,j,94862.0,0.08306451612903226
1035,address,v,94155.0,0.08387096774193548
1045,management,n,93289.0,0.08467741935483872
1055,tomorrow,r,92490.0,0.08548387096774193
1065,stick,v,91597.0,0.08629032258064516
1075,discover,v,90959.0,0.08709677419354839
1085,user,n,90342.0,0.08790322580645162
1095,inside,i,89494.0,0.08870967741935484
1105,nor,c,88431.0,0.08951612903225806
1115,through,r,87238.0,0.0903225806451613
1125,mouth,n,86406.0,0.09112903225806451
1135,travel,v,85441.0,0.09193548387096774
1145,photograph,n,84476.0,0.09274193548387097
1155,touch,v,83871.0,0.0935483870967742
1165,suffer,v,82579.0,0.09435483870967742
1175,heat,n,82112.0,0.09516129032258064
1185,judge,n,81312.0,0.09596774193548387
1195,fall,n,80585.0,0.0967741935483871
1205,internet,n,80144.0,0.09758064516129032
1215,element,n,79440.0,0.09838709677419355
1225,wind,n,78623.0,0.09919354838709678
1235,just,j,78214.0,0.1
1245,interested,j,77632.0,0.10080645161290322
1255,researcher,n,76737.0,0.10161290322580645
1265,capital,n,76018.0,0.10241935483870968
1275,hill,n,75365.0,0.1032258064516129
1285,basic,j,74208.0,0.10403225806451613
1295,engage,v,73493.0,0.10483870967741936
1305,smile,v,73137.0,0.10564516129032259
1315,contract,n,72568.0,0.1064516129032258
1325,apple,n,72273.0,0.10725806451612903
1335,sales,n,71601.0,0.10806451612903226
1345,lake,n,70940.0,0.10887096774193548
1355,gain,v,70275.0,0.10967741935483871
1365,location,n,69669.0,0.11048387096774194
1375,otherwise,r,69243.0,0.11129032258064517
1385,highly,r,68586.0,0.11209677419354838
1395,cry,v,68161.0,0.11290322580645161
1405,associate,v,67750.0,0.11370967741935484
1415,connection,n,67550.0,0.11451612903225807
1425,smart,j,67232.0,0.1153225806451613
1435,ride,v,66723.0,0.11612903225806452
1445,presence,n,66412.0,0.11693548387096775
1455,crowd,n,65965.0,0.11774193548387096
1465,border,n,65422.0,0.11854838709677419
1475,website,n,64875.0,0.11935483870967742
1485,relation,n,64199.0,0.12016129032258065
1495,volume,n,63626.0,0.12096774193548387
1505,extra,j,63392.0,0.12177419354838709
1515,hire,v,62794.0,0.12258064516129033
1525,forest,n,61942.0,0.12338709677419354
1535,focus,n,61392.0,0.12419354838709677
1545,advice,n,60861.0,0.125
1555,enemy,n,60473.0,0.12580645161290321
1565,female,j,60116.0,0.12661290322580646
1575,glad,j,59681.0,0.12741935483870967
1585,kick,v,59307.0,0.1282258064516129
1595,actor,n,58856.0,0.12903225806451613
1605,topic,n,58410.0,0.12983870967741934
1615,session,n,58108.0,0.13064516129032258
1625,wine,n,57614.0,0.13145161290322582
1635,youth,n,57132.0,0.13225806451612904
1645,extend,v,56458.0,0.13306451612903225
1655,surprise,n,56116.0,0.1338709677419355
1665,slightly,r,55389.0,0.1346774193548387
1675,lift,v,54954.0,0.13548387096774192
1685,excuse,v,54672.0,0.13629032258064516
1695,desire,n,54265.0,0.13709677419354838
1705,anywhere,r,53945.0,0.13790322580645162
1715,grand,j,53325.0,0.13870967741935483
1725,angry,j,52980.0,0.13951612903225807
1735,struggle,v,52598.0,0.1403225806451613
1745,neck,n,52214.0,0.1411290322580645
1755,generate,v,51796.0,0.14193548387096774
1765,literature,n,51523.0,0.14274193548387099
1775,capture,v,51215.0,0.1435483870967742
1785,studio,n,50758.0,0.1443548387096774
1795,circle,n,50510.0,0.14516129032258066
1805,colleague,n,50084.0,0.14596774193548387
1815,works,n,49867.0,0.14677419354838708
1825,comfortable,j,49532.0,0.14758064516129032
1835,teaching,n,49167.0,0.14838709677419354
1845,live,j,48836.0,0.14919354838709678
1855,zone,n,48403.0,0.15
1865,minority,n,48052.0,0.15080645161290324
1875,gender,n,47825.0,0.15161290322580645
1885,domestic,j,47518.0,0.15241935483870966
1895,percentage,n,47208.0,0.1532258064516129
1905,request,n,46865.0,0.15403225806451615
1915,fee,n,46768.0,0.15483870967741936
1925,tooth,n,46405.0,0.15564516129032258
1935,self,n,46225.0,0.1564516129032258
1945,chapter,n,45911.0,0.157258064516129
1955,shift,v,45537.0,0.15806451612903227
1965,convention,n,45389.0,0.1588709677419355
1975,scream,v,45103.0,0.1596774193548387
1985,extent,n,44804.0,0.16048387096774194
1995,accuse,v,44491.0,0.16129032258064516
2005,farmer,n,44255.0,0.16209677419354837
2015,contribution,n,43738.0,0.1629032258064516
2025,question,v,43506.0,0.16370967741935485
2035,era,n,43331.0,0.16451612903225807
2045,expose,v,43119.0,0.1653225806451613
2055,guide,n,42871.0,0.16612903225806452
2065,escape,v,42473.0,0.16693548387096774
2075,eliminate,v,42246.0,0.16774193548387095
2085,pretty,j,41937.0,0.16854838709677417
2095,muscle,n,41650.0,0.16935483870967744
2105,far,c,41427.0,0.17016129032258065
2115,cycle,n,41088.0,0.17096774193548386
2125,judgment,n,40961.0,0.1717741935483871
2135,lie,n,40794.0,0.17258064516129032
2145,hand,v,40469.0,0.17338709677419353
2155,fast,j,40261.0,0.17419354838709677
2165,basketball,n,40007.0,0.17500000000000002
2175,quote,v,39780.0,0.17580645161290323
2185,immigration,n,39570.0,0.17661290322580647
2195,separate,v,39416.0,0.1774193548387097
2205,flow,n,39098.0,0.1782258064516129
2215,technical,j,38887.0,0.17903225806451611
2225,mark,n,38593.0,0.17983870967741933
2235,soil,n,38159.0,0.1806451612903226
2245,selection,n,37940.0,0.1814516129032258
2255,resolution,n,37841.0,0.18225806451612903
2265,dude,n,37467.0,0.18306451612903227
2275,slow,v,37312.0,0.18387096774193548
2285,essentially,r,37053.0,0.1846774193548387
2295,offense,n,36790.0,0.18548387096774194
2305,fairly,r,36548.0,0.18629032258064515
2315,pregnant,j,36303.0,0.1870967741935484
2325,deficit,n,36029.0,0.18790322580645163
2335,philosophy,n,35824.0,0.18870967741935485
2345,prosecutor,n,35613.0,0.18951612903225806
2355,knife,n,35408.0,0.19032258064516128
2365,housing,n,35224.0,0.1911290322580645
2375,pop,v,34932.0,0.19193548387096773
2385,publication,n,34656.0,0.19274193548387097
2395,beneath,i,34337.0,0.1935483870967742
2405,pepper,n,34195.0,0.19435483870967743
2415,accomplish,v,33992.0,0.19516129032258064
2425,consist,v,33777.0,0.19596774193548386
2435,engineering,n,33630.0,0.1967741935483871
2445,jail,n,33453.0,0.1975806451612903
2455,brief,j,33229.0,0.19838709677419356
2465,shout,v,33053.0,0.1991935483870968
2475,avenue,n,32968.0,0.2
2485,scholar,n,32846.0,0.20080645161290323
2495,illness,n,32704.0,0.20161290322580644
2505,awesome,j,32423.0,0.20241935483870965
2515,designer,n,32303.0,0.2032258064516129
2525,retire,v,32169.0,0.20403225806451614
2535,incredible,j,31983.0,0.20483870967741935
2545,rarely,r,31748.0,0.2056451612903226
2555,giant,n,31557.0,0.2064516129032258
2565,stream,n,31393.0,0.20725806451612902
2575,twitter,n,31238.0,0.20806451612903226
2585,accurate,j,31068.0,0.20887096774193548
2595,pay,n,30935.0,0.20967741935483872
2605,another,p,30791.0,0.21048387096774196
2615,potentially,r,30671.0,0.21129032258064517
2625,slide,v,30451.0,0.2120967741935484
2635,rather,c,30233.0,0.2129032258064516
2645,reputation,n,29988.0,0.21370967741935482
2655,giant,j,29852.0,0.21451612903225806
2665,fishing,n,29682.0,0.2153225806451613
2675,stranger,n,29572.0,0.2161290322580645
2685,rape,n,29477.0,0.21693548387096775
2695,negotiation,n,29385.0,0.21774193548387097
2705,sequence,n,29257.0,0.21854838709677418
2715,weigh,v,29121.0,0.21935483870967742
2725,electronic,j,29064.0,0.22016129032258064
2735,impression,n,28975.0,0.22096774193548388
2745,visible,j,28886.0,0.22177419354838712
2755,restore,v,28777.0,0.22258064516129034
2765,sauce,n,28639.0,0.22338709677419355
2775,detect,v,28574.0,0.22419354838709676
2785,apologize,v,28462.0,0.22499999999999998
2795,airline,n,28327.0,0.22580645161290322
2805,cent,n,28231.0,0.22661290322580646
2815,grandmother,n,28091.0,0.22741935483870968
2825,manufacturer,n,27966.0,0.22822580645161292
2835,roll,n,27831.0,0.22903225806451613
2845,terrorist,n,27765.0,0.22983870967741934
2855,violate,v,27630.0,0.2306451612903226
2865,unlikely,j,27546.0,0.2314516129032258
2875,idiot,n,27432.0,0.23225806451612904
2885,stadium,n,27233.0,0.23306451612903228
2895,mix,n,27117.0,0.2338709677419355
2905,incorporate,v,26974.0,0.2346774193548387
2915,taste,v,26826.0,0.23548387096774193
2925,possess,v,26713.0,0.23629032258064514
2935,stake,n,26539.0,0.23709677419354838
2945,developer,n,26466.0,0.2379032258064516
2955,tiger,n,26334.0,0.23870967741935484
2965,administrator,n,26195.0,0.23951612903225808
2975,publisher,n,26079.0,0.2403225806451613
2985,variation,n,25982.0,0.2411290322580645
2995,tomato,n,25826.0,0.24193548387096775
3005,contest,n,25761.0,0.24274193548387096
3015,load,n,25620.0,0.24354838709677418
3025,narrator,n,25554.0,0.24435483870967745
3035,surprise,v,25449.0,0.24516129032258066
3045,purchase,n,25302.0,0.24596774193548387
3055,fate,n,25194.0,0.2467741935483871
3065,surprising,j,25114.0,0.2475806451612903
3075,adapt,v,24934.0,0.24838709677419354
3085,random,j,24886.0,0.24919354838709676
3095,smell,n,24783.0,0.25
3105,tourist,n,24638.0,0.2508064516129032
3115,stable,j,24549.0,0.25161290322580643
3125,update,n,24444.0,0.2524193548387097
3135,friendship,n,24359.0,0.2532258064516129
3145,humor,n,24213.0,0.2540322580645161
3155,chemical,n,24096.0,0.25483870967741934
3165,silly,j,24001.0,0.2556451612903226
3175,lifestyle,n,23917.0,0.2564516129032258
3185,crap,n,23756.0,0.25725806451612904
3195,imagination,n,23622.0,0.25806451612903225
3205,drawing,n,23549.0,0.25887096774193546
